Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,,,12,81,14,112,,,,,0,,,,,,,1,,,0,,,,,248
North Yemen,0,,4,,,1,,60,19,8,,23,,,,,0,,27,11,,,,,9,9,0,13,14,740,700,149,45,9,98,101,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121
Norway,113,127,426,421,19,168,282,142,144,110,145,93,60,227,260,371,773,696,289,524,145,86,68,63,55,49,35,27,24,44,251,435,457,441,337,122,141,198,308,667,369,322,254,181,94,79,152,159,152,155,229,99,90,9,6,14,557,596,615,583,159,606,143,51,16,143,140,352,532,379,450,17026
NTC (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
Oman,,,,,,,,,,1,1,,,1,1,1,2,7,5,36,26,60,11,71,67,181,150,250,81,43,12,72,182,356,120,86,49,40,19,119,59,,,55,145,278,293,165,22,,120,33,40,36,41,170,296,12,72,94,31,21,120,487,714,127,423,777,277,86,85,7127
OSCE**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1
PAIGC (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pakistan,194,169,145,95,145,195,158,529,353,323,42,69,88,180,85,214,594,153,418,559,447,553,664,162,230,241,279,264,649,710,854,485,537,777,856,747,280,616,411,962,643,498,379,1000,890,366,500,691,699,874,182,419,565,652,476,443,356,694,1070,1191,2205,1128,1014,1095,828,779,837,837,799,521,759,38819
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,7,15
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,9,,,,,,,,,,,2,,14,6,,,,,,,,,2,,37
Panama,,,,,,,,,,,,,,,0,,,,0,3,15,18,2,16,,27,6,4,5,,3,4,13,8,0,7,,,23,2,,,2,,,,0,12,,,,,1,,,,,,,7,,,15,30,,,3,15,11,,,249
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,32,,3,2,,,2,5,,3,,8,12,6,6,4,10,10,,1,,0,7,,,,,,,,,,,,,,,,,3,,,4,7,,,124
Paraguay,5,,1,1,,0,,,,,9,,11,0,8,1,1,5,9,,0,1,12,0,1,20,3,,9,1,18,5,3,1,3,34,4,,14,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0,,,,,,2,,225
Pathet Lao (Laos)*,,,,,,,,,,,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
Peru,2,24,76,,111,35,175,117,30,175,191,96,14,24,18,52,65,28,188,89,35,157,160,449,562,555,374,939,776,639,706,865,278,324,356,257,248,614,240,10,97,108,124,42,175,46,122,312,51,96,24,5,16,22,47,368,193,172,,43,46,63,10,22,152,212,223,65,94,0,19,13017
Philippines,,2,1,32,2,35,39,42,29,64,51,45,11,4,2,102,86,43,16,26,9,90,52,117,53,133,256,198,143,92,75,39,17,117,39,23,,26,12,19,33,34,43,61,71,27,40,70,64,,,10,5,10,34,12,23,16,10,1,3,63,16,78,12,153,230,276,20,189,349,4093
PIJ (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
PKK (Turkey)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,1
PLO (Israel)*,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,4,12,14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Poland,190,575,794,1021,1999,1098,687,1080,1048,994,853,849,688,1001,1565,1155,981,746,861,933,933,925,851,1047,1067,966,788,928,1113,1128,1091,808,724,528,462,918,1380,1020,896,498,227,76,95,5,69,245,102,1,3,25,148,33,256,350,226,103,439,966,632,190,169,137,223,145,259,140,55,154,74,325,193,43252
Portugal,18,17,116,280,369,162,90,157,99,48,31,150,28,41,45,62,235,298,388,359,370,177,16,16,117,326,64,94,128,5,36,50,190,4,109,154,5,9,90,136,73,1013,19,361,453,20,7,0,16,3,2,19,,29,70,158,220,60,144,370,893,167,39,12,3,1,21,8,20,43,47,9382
PRC (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
Provisional IRA (UK)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,55,16,14,55,46,128,470,328,2,2,57,91,10,5,17,64,11,10,11,201,242,300,72,14,11,11,11,,,,27,,286,30,198,317,68,55,519,905,665,620,2358,783,9172
Regional Security System**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,14
Romania,4,76,454,904,629,359,448,186,106,97,113,27,181,227,418,518,401,442,591,399,561,474,501,539,683,646,295,349,298,645,528,478,448,285,241,331,450,215,193,276,606,63,184,14,29,2,39,61,170,142,21,24,21,17,285,437,61,98,76,56,107,80,21,20,0,22,177,88,37,13,187,18170
RPF (Rwanda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
RUF (Sierra Leone)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,4,90,,8,25,10,121,183,218,85,145,93,26,,,1047
Rwanda,,,,,,,,,,,,,5,,0,0,,,,,,0,0,2,1,3,,1,,,,,,4,6,3,2,,2,,1,2,5,,,,1,2,9,20,14,,,,,,3,20,8,11,,,5,15,14,27,,8,3,1,,194
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Saint Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13
Saudi Arabia,0,,7,1,2,16,10,72,37,8,17,12,22,,5,48,227,221,456,383,54,10,104,185,378,479,612,951,1020,765,1090,1810,2214,1819,836,1328,2849,2003,776,1382,2043,1041,1125,2377,981,983,1733,2788,2895,1580,85,61,567,167,1170,166,205,230,391,824,1083,1222,1033,1614,2740,3377,2961,3931,3315,3419,2466,70781
Senegal,,,,,,,,,,,0,8,,0,4,0,1,,1,19,,12,,1,17,,14,41,20,29,,,7,38,4,,14,18,,,,,,,1,6,,,,,,,,,,15,9,12,6,4,4,16,,5,7,16,40,47,12,42,22,510
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,8,1,13,6,1,1,27,,,,,,,,,16,,0,,,,14,65,3,157,133,452
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19,6,1,2,15,,,10,,1,,0,,,,,,,,,,,,,,,15,,,,,,7,,8,16,,8,,8,,,114
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,28,,,1,,2,,42,,,1,3,,,18,,,,,1,,6,14,,16,,12,,,,,,,9,,,,,2,0,1,,0,1,,,,,158
Singapore,,,,,,,6,,,,,,,,,1,8,,6,138,92,165,177,99,295,255,254,171,50,338,410,167,176,245,83,123,75,277,543,234,523,371,111,170,182,305,171,624,813,313,798,255,236,86,379,541,72,358,1114,1429,958,895,745,749,65,147,633,430,594,636,74,19163
SLA (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,10,17,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,44
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,208,29,,,,0,,27,,,4,,0,0,9,9,,2,5,,,,47,34,36,,584
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,22,11,22,20,8,4,19,2,41,2,17,17,3,3,2,,10,40,28,,,1,,,,,,,284
SNA (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,19
Somalia,,,,,,,,,,,10,2,0,11,,30,52,72,4,1,,,21,165,283,128,180,44,57,48,120,97,61,23,12,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,,8,3,1515
South Africa,37,73,183,53,49,105,270,173,169,68,13,,215,476,266,350,471,260,183,176,475,274,227,311,193,226,415,508,391,130,200,121,49,225,127,28,212,21,7,13,13,28,363,244,241,42,42,11,,21,6,18,,,,267,741,910,493,134,180,212,132,2,50,2,,,,,,11892
Southern rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,80
South Korea,155,256,266,263,158,354,454,278,254,252,195,180,131,218,283,627,574,130,350,499,80,240,373,253,450,654,556,1193,380,1354,924,893,684,501,527,759,873,763,1213,1843,1206,919,785,1028,1026,1954,1976,1229,1427,1646,1397,772,528,752,1061,809,1653,1727,1686,794,1299,1570,1078,191,723,254,1058,1052,1100,1480,1317,55883
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,1,2,61,2,9,35,19,8,,,,,216
South Vietnam,,,,0,45,60,115,24,25,20,43,111,165,131,80,143,182,253,285,568,654,970,2538,629,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7390
South Yemen,,,,,,,,,,,,,,,,,,29,13,58,17,49,112,83,68,12,,8,55,1082,1221,499,41,99,71,52,74,89,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3787
Soviet Union,36,,,8,70,945,1538,1500,1500,1000,717,175,174,237,463,485,583,576,543,578,523,525,795,583,957,771,800,876,803,842,767,804,676,725,914,1004,1379,1533,1611,1201,693,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30039
Spain,1,,,78,88,217,273,287,135,293,231,112,55,14,60,401,277,279,133,191,241,617,767,906,582,1186,832,280,492,659,692,630,517,605,84,331,1108,1108,1958,856,708,110,211,301,855,357,425,212,86,371,329,151,277,254,315,363,315,339,349,231,288,168,224,155,109,135,86,82,142,40,57,25618
SPLA (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Sri Lanka,0,,0,17,,8,1,2,20,31,4,,,,0,,,,,2,,33,47,,,1,0,17,7,,18,,,,48,42,27,110,19,5,19,166,22,35,74,64,207,48,83,62,293,158,42,33,46,56,95,90,79,21,4,21,,20,5,,,45,100,59,,2408
Sudan,,,,,,,,2,5,4,9,15,19,8,36,5,5,2,16,177,598,87,69,23,3,,,26,208,4,3,204,90,25,106,65,9,122,77,16,3,46,6,,,3,27,63,,36,,106,49,204,293,132,69,33,128,89,182,173,95,130,61,124,109,68,34,18,,4319
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,,,,0,2,,7,,5,2,,,,,,,,,,,,23,2,,,,,,,,,,,,0,7,,3,,,,,,67
Sweden,225,297,316,431,319,433,555,253,171,258,233,157,133,307,397,289,280,326,226,138,108,86,161,231,256,292,214,100,197,247,246,452,171,179,109,82,160,159,135,105,90,49,60,39,297,101,95,195,294,224,206,165,76,64,47,78,129,51,53,17,11,191,207,56,45,14,70,46,7,7,3,12414
Switzerland,154,151,321,169,142,230,313,223,232,289,219,37,4,52,263,226,371,174,197,166,141,149,187,116,64,138,143,5,218,227,274,290,177,443,404,341,108,151,179,319,440,476,388,104,119,93,187,379,436,507,23,68,63,117,203,168,83,108,17,39,48,32,10,6,5,12,73,34,10,13,10,12279
Syria,106,1,20,18,9,74,106,381,124,38,37,12,20,74,50,77,508,889,805,852,880,731,1497,3272,3420,1412,500,931,871,2045,1859,1338,1973,2233,1809,1575,1262,1409,1312,663,739,321,243,173,19,35,35,35,55,58,64,28,45,69,25,35,100,20,294,205,413,493,516,506,21,22,8,25,181,,72,40048
Syria rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,2,,1,,5
Taiwan,,98,304,383,320,622,256,436,739,1009,428,108,137,320,347,469,326,477,299,583,585,351,245,329,372,348,488,806,796,552,525,795,811,735,440,654,967,598,658,364,478,663,479,1157,856,1318,1474,4799,3949,1724,570,332,291,117,319,695,503,12,11,60,95,197,422,548,1077,629,97,493,99,64,102,42706
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,13,7,,34,,,,3,,,8,19,3,4,,117
Tanzania,,,,,,,,,,,,,,,4,4,22,1,,,11,60,47,118,181,48,,44,63,260,53,121,9,,,,1,,,5,,,18,,4,,4,,,,2,,1,51,,10,12,1,,25,,78,115,118,14,20,20,2,32,,,1577
Thailand,62,88,61,44,60,34,10,88,15,10,28,57,110,110,97,89,113,152,69,135,214,240,202,342,97,77,148,104,325,171,307,320,82,325,387,185,164,540,610,269,230,576,498,185,610,527,737,935,77,168,85,117,152,131,114,70,47,8,16,63,48,268,278,357,95,174,336,302,627,295,132,14798
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,,,,,,,,,,32
Togo,,,,,,,,,,,1,,,,0,0,,,1,1,2,1,,2,,14,50,1,9,9,28,19,4,2,,,17,0,1,,,9,8,,3,3,,9,,,,,,,,,,,,,1,,,,15,,,,,1,1,209
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6,6,6,,,,,0,,,,,,,,,,,,,,,,,,,5,,,,7,7,38
Trinidad and Tobago,,,,,,,,,,,,,,,,11,0,,,,,,11,2,,,,,,,22,6,,,,,,0,,,,,,,,,,,,,11,0,2,,,,,6,,,24,12,12,,,46,30,,,,,194
Tunisia,,,,,,,,11,,13,44,6,,7,4,40,,5,17,23,44,0,4,26,14,15,10,73,14,122,103,56,59,103,116,321,,56,17,48,4,20,32,,35,56,68,39,18,11,,,44,1,,168,2,,3,,7,7,,38,45,7,35,89,180,15,15,2306
Turkey,117,136,315,514,473,335,198,544,630,934,592,312,300,616,835,412,335,593,426,644,396,941,1095,789,1279,639,365,298,989,919,488,732,483,478,560,690,484,1439,1638,1029,1285,1255,1890,2348,1890,1574,1494,1521,2636,1736,1181,509,900,330,257,1095,531,692,640,732,485,780,1503,793,1524,438,328,428,487,754,86,57094
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,7,36,27,235,109,71,72,172,431,92,,,10,1299
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,7,,13
UAE,,,,,,,,,,,,,,,,,,,13,13,69,24,26,88,100,152,272,294,207,18,203,430,162,164,312,145,138,199,42,660,559,235,201,580,568,421,480,688,756,437,246,186,222,685,1216,2180,2033,929,758,602,644,1235,1154,2306,768,1224,956,966,1196,691,432,29281
Uganda,,,,,,,,,,,,,,,3,1,16,4,27,12,7,3,20,17,46,123,34,5,,,,,14,,,10,,31,1,20,,,,,,32,,,55,39,6,,33,,36,10,5,0,14,25,37,469,216,20,1,6,1,21,10,36,13,1476
UIC (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,5,4,70,26,18,146
Ukraine Rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,24
UNITA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
United Kingdom,105,246,532,1591,512,315,126,90,545,548,29,34,38,139,118,152,216,1422,2288,2570,60,171,217,234,319,337,251,256,179,220,544,800,757,286,633,355,273,207,278,205,117,936,1132,784,414,492,568,496,741,125,871,1275,720,775,218,32,328,796,496,376,493,366,583,494,211,397,259,1002,519,342,764,35317
United Nations**,,,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,14,55,11,,,1,7,31,,,,2,1,2,1,0,,,,,5,25,3,9,,,,,185
United States,352,695,875,1315,1896,1892,2071,1371,701,645,221,238,264,323,326,190,109,84,70,70,43,587,779,664,592,393,499,384,369,253,380,531,248,463,381,655,420,1992,1787,1784,367,520,535,963,950,757,557,582,266,222,336,499,511,610,578,537,646,832,967,977,1091,1012,1207,791,590,513,451,516,380,866,687,47226
United Wa State (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,3
Unknown rebel group*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0
Unknown recipient(s),,,,,,,,,,10,10,18,38,67,76,76,58,58,58,58,18,10,10,5,5,,,,,,30,85,85,86,86,86,86,86,86,41,,11,11,18,4,8,3,,4,,,2,,0,0,,,,12,,8,6,,29,30,13,36,17,26,48,24,1640
Uruguay,68,3,39,3,1,2,22,12,9,,17,0,100,0,2,8,6,,10,12,10,16,24,6,5,3,53,2,8,9,21,100,15,17,,8,,,16,41,41,63,26,18,11,12,4,19,27,8,4,,13,,,20,8,3,78,29,20,,,3,9,8,,,10,1,25,1128
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,30,,,,17,100,56,,131,53,46,450
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Venezuela,61,,25,195,135,66,406,285,120,9,64,32,32,34,2,,33,236,20,8,15,119,164,394,251,228,176,220,59,14,368,917,701,240,229,515,92,77,101,120,190,320,73,38,1,5,35,37,8,85,106,103,50,15,9,21,377,775,739,358,208,596,687,993,181,167,137,,,,51,13128
Viet Cong (South Vietnam)*,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Viet Minh (France)*,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
